cui,cui_name,class_type,hpo,hpo_name
C0160432,"Injury to bladder and urethra, without mention of open wound into cavity",Concept,,
C0342788,Renal carnitine transport defect,Concept,,
C0153042,Herpetic whitlow,Concept,,
C0029549,Other conditions due to autosomal anomalies,Concept,,
C0029548,Other color vision deficiencies,Concept,,
C0236826,Developmental expressive language disorder,Concept,,
C0231835,Tachypnea,Concept,HP:0002789,Tachypnea
C0029543,Other chronic allergic conjunctivitis,Concept,,
C0029542,Other chorea,Concept,,
C0029545,Other chronic hepatitis,Concept,,
C0029544,Other chronic bronchitis,Concept,,
C0029547,Other closed skull fracture without mention of intracranial injury,Concept,,
C0029546,Other chronic nonalcoholic liver disease,Concept,,
C0158095,"Pathological dislocation of joint, pelvic region and thigh",Concept,,
C0027651,Neoplasms,Concept,HP:0002664,Neoplasm
C0302434,"General psychiatric examination, other and unspecified",Concept,,
C0302433,"Follow-up examination, following completed treatment with high-risk medication, not elsewhere classified",Concept,,
C0302431,"Other psychological or physical stress, not elsewhere classified",Concept,,
C0302430,"Other and unspecified complications of medical care, NEC in ICD9CM_2014",Concept,,
C0489954,Unspecified viral hepatitis without hepatic coma,Concept,,
C0489955,Toxic uninodular goiter without mention of thyrotoxic crisis or storm,Concept,,
C0342565,Other specified diseases of thymus gland,Concept,,
C0489951,Other specified bacterial intestinal infections,Concept,,
C0489952,"Intestinal infection due to other organism, NEC in ICD9CM",Concept,,
C0489958,Rheumatic chorea without heart involvement,Concept,,
C0489959,Rheumatoid myocarditis,Concept,,
C0432378,Congenital malformations of other endocrine glands,Concept,,
C0029729,"Other retinal changes, congenital",Concept,,
C0160928,"Contusion, genital organs",Concept,,
C0031192,Persistent Ostium Primum,Concept,,
C0031190,Persistent Fetal Circulation Syndrome,Concept,HP:0011726,Persistent fetal circulation
C0160923,Contusion of trunk,Concept,,
C0160921,Contusion of orbital tissues,Concept,,
C0160920,Contusion of eyelid and periocular area,Concept,,
C0160927,Contusion of back,Concept,,
C0160926,Contusion of abdominal wall,Concept,,
C0160925,Contusion of chest,Concept,,
C0678202,Regional enteritis,Concept,,
C0375319,Acute bronchiolitis due to other infectious organisms,Concept,,
C0375311,Phlebitis and thrombophlebitis of superficial veins of upper extremities,Concept,,
C0375314,Iatrogenic hypotension,Concept,,
C0242007,,,,
C0020565,Hypertrophy of Breast,Concept,HP:0010313,Breast hypertrophy
C0375273,Occlusion and stenosis of basilar artery without mention of cerebral infarction,Concept,,
C0159322,Closed fracture of nasal bones,Concept,,
