topic,time,cui,cui_name,curated_nameprob,hpo,hpo_name
0,0,C0264222,Acute upper respiratory infection,acute respiratory tract infection,0.05150936159000422,HP:0011948,Acute respiratory tract infection
0,0,C2349675,Fever and other physiologic disturbances of temperature regulation,fever and  physiologic disturbances of temperature regulation,0.03682357518844948,HP:0004370,Abnormality of temperature regulation
0,0,C0029882,Otitis Media,,0.03421879986515161,HP:0000388,Otitis media
0,0,C0375319,Acute bronchiolitis due to other infectious organisms,acute bronchiolitis due to  infectious organisms,0.023941011868078114,,
0,0,C0153114,Unspecified viral infection in conditions classified elsewhere and of unspecified site, viral infection in conditions classified elsewhere and of  site,0.021687302394697093,HP:0002719,Recurrent infections
0,0,C0494831,Other atopic dermatitis, atopic dermatitis,0.014466815181287578,HP:0001047,Atopic dermatitis
0,0,C0158489,Acquired clubfoot,acquired clubfoot,0.013162015169254412,HP:0001762,Talipes equinovarus
0,0,C0395861,Acute suppurative otitis media without spontaneous rupture of ear drum,acute suppurative otitis media ,0.01190833950383428,HP:0000403,Recurrent otitis media
0,0,C0029512,Other and unspecified noninfectious gastroenteritis and colitis,gastrointestinal inflammation,0.011076119357121982,HP:0004386,Gastrointestinal inflammation
0,0,C0009081,Congenital clubfoot,,0.010153571471534223,HP:0001762,Talipes equinovarus
0,0,C0546884,Hypovolemia,,0.010120295760400877,HP:0011106,Hypovolemia
0,0,C0006849,Oral candidiasis,oral candidiasis,0.009113489283026341,HP:0009098,Chronic oral candidiasis
0,0,C1301937,Talipes,,0.00834185753331728,HP:0001883,Talipes
0,0,C0375487,"Contact dermatitis and other eczema, unspecified cause","contact dermatitis and  eczema,  cause",0.008056517076755802,HP:0001047,Atopic dermatitis
0,0,C0009763,Conjunctivitis,,0.006560878463307791,HP:0000509,Conjunctivitis
0,0,C0010200,Coughing,,0.006520475739796567,HP:0012735,Cough
0,0,C1279224,"Infectious colitis, enteritis and gastroenteritis","infectious colitis, enteritis and gastroenteritis",0.006382239182708102,HP:0002583,Colitis
0,0,C0348799,Acute bronchiolitis due to respiratory syncytial virus,acute bronchiolitis due to respiratory syncytial virus,0.006005719827366782,HP:0002088,Abnormality of the lung
0,0,C0728950,Vomiting alone,vomiting alone,0.005596000837944374,HP:0002013,Vomiting
0,0,C0015230,Exanthema,,0.005586768462505231,HP:0000988,Skin rash
0,0,C2712941,Disorder of stomach function and feeding problems in newborn,disorder of stomach function and feeding problems in newborn,0.005546208648040407,HP:0011968,Feeding difficulties
0,0,C0155886,"Asthma, unspecified type, without mention of status asthmaticus","asthma,  type, ",0.00536639391357822,HP:0002099,Asthma
0,0,C0009806,Constipation,,0.005108052874853303,HP:0002019,Constipation
0,0,C0158210,"Other symptoms referable to joint, pelvic region and thigh"," symptoms referable to joint, pelvic region and thigh",0.0047941128464201324,,
0,0,C0010380,Croup,abnormality of the vocal cords,0.004566424074444461,HP:0008777,Abnormality of the vocal cords
0,0,C0154246,"Urea Cycle Disorders, Inborn","urea cycle disorders, inborn",0.004350047697401735,HP:0001939,Abnormality of metabolism/homeostasis
0,0,C0006842,Candidiasis of skin and nails,candidiasis of skin and nails,0.00401428574432179,HP:0002728,Chronic mucocutaneous candidiasis
0,0,C0011974,Diaper Rash,diaper rash,0.003925271441909988,HP:0000988,Skin rash
0,0,C0489952,"Intestinal infection due to other organism, NEC in ICD9CM","intestinal infection due to  organism,",0.003907030704216485,HP:0004798,Recurrent infection of the gastrointestinal tract
0,0,C0270206,fetus or newborn; jaundice,fetus or newborn; jaundice,0.003806890396652643,,
0,0,C0029601,Other respiratory abnormalities, respiratory abnormalities,0.003789203005950725,HP:0002086,Abnormality of the respiratory system
0,0,C0000737,Abdominal Pain,,0.003334655004224532,HP:0002027,Abdominal pain
0,0,C0154716,"Infantile spasms, with intractable epilepsy"," spasms, ",0.0033197301822331287,HP:0004305,Involuntary movements
0,0,C0018674,Craniocerebral Trauma,craniocerebral trauma,0.0031787891263423537,HP:0012638,Abnormality of nervous system physiology
0,0,C0042029,Urinary tract infection,urinary tract infection,0.0029738769715419834,HP:0000010,Recurrent urinary tract infections
0,0,C0375526,Hypospadias and epispadias and other penile anomalies,hypospadias and epispadias and  penile anomalies,0.0028235088052822087,,
