topic,time,cui,cui_name,curated_nameprob,hpo,hpo_name
0,0,C2349675,Fever and other physiologic disturbances of temperature regulation,fever and  physiologic disturbances of temperature regulation,0.13102520556763883,HP:0004370,Abnormality of temperature regulation
0,0,C0490048,Vesicoureteral reflux unspecified or without reflux nephropathy,vesicoureteral reflux  or ,0.10883986366366395,HP:0000076,Vesicoureteral reflux
0,0,C0878753,Unspecified lack of expected normal physiological development in childhood, lack of expected normal physiological development in ,0.09704115562670468,HP:0001263,Global developmental delay
0,0,C0478056,Other obstructive defects of renal pelvis and ureter, obstructive defects of renal pelvis and ureter,0.09289250609196946,HP:0000069,Abnormality of the ureter
0,0,C0020295,Hydronephrosis,,0.07098892749768594,HP:0000126,Hydronephrosis
0,0,C0375530,congenital obstruction of ureteropelvic junction,congenital obstruction of ureteropelvic junction,0.06437040555762395,HP:0000074,Ureteropelvic junction obstruction
0,0,C0028738,Nystagmus,,0.04965586882326139,HP:0000639,Nystagmus
0,0,C0014877,Esotropia,,0.04545758082680515,HP:0000565,Esotropia
0,0,C0010380,Croup,abnormality of the vocal cords,0.029320550336127803,HP:0008777,Abnormality of the vocal cords
0,0,C0010200,Coughing,,0.025622951612920195,HP:0012735,Cough
0,0,C0020490,Hyperopia,,0.02521748574840382,HP:0000540,Hypermetropia
0,0,C0029781,Other specified disorders of kidney and ureter, specified disorders of kidney and ureter,0.018544891627783628,,
0,0,C0152212,Intermittent alternating esotropia,intermittent alternating esotropia,0.01851971865817061,HP:0001137,Alternating esotropia
0,0,C0029866,Other ureteric obstruction, ureteric obstruction,0.0107541930671196,HP:0006000,Ureteral obstruction
0,0,C0395861,Acute suppurative otitis media without spontaneous rupture of ear drum,acute suppurative otitis media ,0.009743712432558865,HP:0000403,Recurrent otitis media
0,0,C0004106,Astigmatism,,0.0071143605761552564,HP:0000483,Astigmatism
0,0,C0154634,Mixed development disorder,neurodevelopmental delay,0.0071073004244250285,HP:0012758,Neurodevelopmental delay
0,0,C0026758,"Multiple congenital anomalies, so described","multiple congenital anomalies, so described",0.0064673497984280666,HP:0001627,Abnormal heart morphology
0,0,C0029551,Other conditions of brain, conditions of brain,0.00591700062683068,HP:0012638,Abnormality of nervous system physiology
0,0,C0037317,Sleep disturbances,,0.004945503357647851,HP:0002360,Sleep disturbance
0,0,C0153987,"Benign neoplasm of skin of trunk, excluding scrotum","benign neoplasm of skin of trunk, excluding scrotum",0.004257161036894856,,
0,0,C0575081,Gait abnormality,,0.0027306126103534725,HP:0001288,Gait disturbance
0,0,C1879328,Blindness both eyes NOS (disorder),blindness both eyes nos (disorder),0.0024256030888726555,,
0,0,C0149825,Hypertrophy of adenoids,abnormal size nasopharyngeal adenoids,0.0020158023315322076,HP:3000033,Abnormality of nasopharyngeal adenoids
0,0,C0041806,Unspecified disorder of immune mechanism, disorder of immune mechanism,0.001942184437005333,HP:0010978,Abnormality of immune system physiology
0,0,C0008711,Chronic rhinitis,,0.0016176870921823458,HP:0002257,Chronic rhinitis
0,1,C0478095,Other specified congenital malformations,phenotypic abnormality,0.10448862963187737,HP:0000118,Phenotypic abnormality
0,1,C0392549,Infantile cerebral palsy, cerebral palsy,0.10149939165532015,HP:0100021,Cerebral palsy
0,1,C0011168,Deglutition Disorders,,0.055983367458861594,HP:0002015,Dysphagia
0,1,C0026758,"Multiple congenital anomalies, so described","multiple congenital anomalies, so described",0.05113582155133474,HP:0001627,Abnormal heart morphology
0,1,C0154697,"Cerebral Palsy, Quadriplegic, Infantile","cerebral palsy, quadriplegic, ",0.045992389881223616,HP:0100021,Cerebral palsy
0,1,C0018818,Ventricular Septal Defects,,0.0390996065054459,HP:0001629,Ventricular septal defect
0,1,C0010417,Cryptorchidism,,0.03783626239364581,HP:0000028,Cryptorchidism
0,1,C0079157,Reduction deformities of brain,reduction deformities of brain,0.037048511142295716,HP:0012443,Abnormality of brain morphology
0,1,C0014868,Esophagitis,,0.03346722772507304,HP:0100633,Esophagitis
