cui,cui_name,curated_name,prob,hpo,hpo_name
C0158782,Congenital anomaly of diaphragm,congenital anomaly of diaphragm,0.011228630122453393,HP:0012252,Abnormal respiratory system morphology
C0029776,Other specified disorders of bladder, specified disorders of bladder,0.001695889029914259,,
C0003578,Apnea,,0.0033242896320354884,HP:0002104,Apnea
C1135196,"Heart Failure, Diastolic","heart failure, diastolic",0.0018230692056263797,HP:0001635,Congestive heart failure
C0494752,Diaphragmatic hernia without mention of obstruction or gangrene,diaphragmatic hernia ,0.0045138855278885484,HP:0000776,Congenital diaphragmatic hernia
C2937300,Congenital hereditary muscular dystrophy,congenital hereditary muscular dystrophy,0.001743254826584271,HP:0003741,Congenital muscular dystrophy
C0003977,Aseptic necrosis of head and/or neck of femur,aseptic necrosis of head and/or neck of femur,0.00480249380614752,HP:0010885,Aseptic necrosis
C0029549,Other conditions due to autosomal anomalies, conditions due to autosomal anomalies,0.00652400750318419,,
C0029548,Other color vision deficiencies, color vision deficiencies,0.0016147917849775205,HP:0000551,Abnormality of color vision
C0236826,Developmental expressive language disorder,expressive language delay,0.09399636989460668,HP:0002474,Expressive language delay
C0236827,Mixed receptive-expressive language disorder,language delay,0.046188443330943685,HP:0000750,Delayed speech and language development
C0029543,Other chronic allergic conjunctivitis, chronic allergic conjunctivitis,0.0038134173447750266,HP:0007879,Allergic conjunctivitis
C0029546,Other chronic nonalcoholic liver disease, chronic nonalcoholic liver disease,0.003111169323233202,HP:0001392,Abnormality of the liver
C0026758,"Multiple congenital anomalies, so described","multiple congenital anomalies, so described",0.013494955261796891,HP:0001627,Abnormal heart morphology
C0080274,Urinary Retention,,0.0038370399159957163,HP:0000016,Urinary retention
C0032897,Prader-Willi Syndrome,prader-willi syndrome,0.007656298115895772,HP:0001507,Growth abnormality
C0158658,Bilateral incomplete cleft palate with cleft lip,bilateral incomplete cleft palate ,0.001050677934212896,HP:0100337,Bilateral cleft palate
C0158659,Other combinations of cleft palate with cleft lip, combinations of cleft palate ,0.0019018412155372547,HP:0009099,Median cleft palate
C0158656,Unilateral incomplete cleft palate with cleft lip,unilateral incomplete cleft palate ,0.011340024411450596,HP:0100334,Unilateral cleft palate
C0158657,Bilateral complete cleft palate with cleft lip,bilateral complete cleft palate ,0.005370306364167777,HP:0000174,Abnormality of the palate
C0002171,Alopecia Areata,,0.001775519684229059,HP:0002229,Alopecia areata
C0158655,Unilateral complete cleft palate with cleft lip,unilateral complete cleft palate ,0.02643847415758094,HP:0000174,Abnormality of the palate
C0158652,Unilateral incomplete cleft lip,unilateral incomplete cleft lip,0.007213768120372652,HP:0100333,Unilateral cleft lip
C0158650,Incomplete bilateral cleft palate,incomplete bilateral cleft palate,0.0010892667002818917,HP:0100337,Bilateral cleft palate
C0158651,Unilateral complete cleft lip,unilateral complete cleft lip,0.0026020365637868925,HP:0100333,Unilateral cleft lip
C0009447,Common Variable Immunodeficiency,immunodeficiency,0.024200199317421546,HP:0002721,Immunodeficiency
C0032781,Posterior rhinorrhea,posterior rhinorrhea,0.002419405094654638,HP:0000366,Abnormality of the nose
C0489952,"Intestinal infection due to other organism, NEC in ICD9CM","intestinal infection due to  organism,",0.010246976610563738,HP:0004798,Recurrent infection of the gastrointestinal tract
C0038450,Stridor,,0.009568222450432047,HP:0010307,Stridor
C1411876,Developmental arithmetic disorder,,0.008937478401381354,HP:0002442,Dyscalculia
C0040702,Transient Tic Disorder,transient tic disorder,0.0018865587607778843,HP:0100033,Tics
C0031192,Persistent Ostium Primum,persistent ostium primum,0.0031903545028649704,HP:0010445,Primum atrial septal defect
C0678202,Regional enteritis,regional enteritis,0.004942131591300722,HP:0002242,Abnormality of the intestine
C0375319,Acute bronchiolitis due to other infectious organisms,acute bronchiolitis due to  infectious organisms,0.02321896328165556,,
C0030591,Paroxysmal ventricular tachycardia,,0.0035937830782124297,HP:0004751,Paroxysmal ventricular tachycardia
C0029839,Other specified urticaria, specified urticaria,0.0014169889820559974,HP:0001025,Urticaria
C0490052,Other psoriasis and similar disorders excluding psoriatic arthropathy, psoriasis and similar disorders excluding psoriatic arthropathy,0.005537967814315212,,
C0695252,Other malaise and fatigue, malaise and fatigue,0.0066831315053240085,,
C0155831,Hypertrophy of tonsils alone,hypertrophy of tonsils alone,0.004075235870573673,HP:0100765,Abnormality of the tonsils
C0494574,"Hypertensive renal disease, unspecified, without mention of renal failure","hypertensive renal disease, , ",0.0023034970434985163,HP:0012622,Chronic kidney disease
C0029837,Other specified types of hydrocele, specified types of hydrocele,0.0013901378149238502,HP:0000034,Hydrocele testis
C0405580,Adrenal cortical hypofunction,adrenal cortical hypofunction,0.002052108683920577,HP:0000834,Abnormality of the adrenal glands
C0011848,Diabetes Insipidus,,0.002113694074910117,HP:0000873,Diabetes insipidus
C0375076,"Lymphosarcoma, unspecified site, extranodal and solid organ sites","lymphosarcoma,  site, extranodal and solid organ sites",0.0062396747978772015,,
C0476228,"Localized superficial swelling, mass, or lump","localized superficial swelling, mass, or lump",0.0018395859022090999,,
C0020565,Hypertrophy of Breast,,0.02011753962897691,HP:0010313,Breast hypertrophy
C0158265,Degeneration of lumbar or lumbosacral intervertebral disc,degeneration of lumbar or lumbosacral intervertebral disc,0.0010799403922390498,HP:0008419,Intervertebral disc degeneration
