cui,cui_name,curated_name,prob,hpo,hpo_name
C0158782,Congenital anomaly of diaphragm,congenital anomaly of diaphragm,0.011536453070316803,HP:0012252,Abnormal respiratory system morphology
C0029776,Other specified disorders of bladder, specified disorders of bladder,0.001928940126675196,,
C0003578,Apnea,,0.003307279399166278,HP:0002104,Apnea
C1135196,"Heart Failure, Diastolic","heart failure, diastolic",0.0020691825292236186,HP:0001635,Congestive heart failure
C0494752,Diaphragmatic hernia without mention of obstruction or gangrene,diaphragmatic hernia ,0.004619368724916006,HP:0000776,Congenital diaphragmatic hernia
C2937300,Congenital hereditary muscular dystrophy,congenital hereditary muscular dystrophy,0.0019860665746216375,HP:0003741,Congenital muscular dystrophy
C0003977,Aseptic necrosis of head and/or neck of femur,aseptic necrosis of head and/or neck of femur,0.005354796532576309,HP:0010885,Aseptic necrosis
C0029549,Other conditions due to autosomal anomalies, conditions due to autosomal anomalies,0.006999421967029504,,
C0029548,Other color vision deficiencies, color vision deficiencies,0.0017137127402885738,HP:0000551,Abnormality of color vision
C0236826,Developmental expressive language disorder,expressive language delay,0.10038032460660451,HP:0002474,Expressive language delay
C0231835,Tachypnea,,0.002677403738474435,HP:0002789,Tachypnea
C0029543,Other chronic allergic conjunctivitis, chronic allergic conjunctivitis,0.004356745309022874,HP:0007879,Allergic conjunctivitis
C0029546,Other chronic nonalcoholic liver disease, chronic nonalcoholic liver disease,0.0032867973488454774,HP:0001392,Abnormality of the liver
C0026758,"Multiple congenital anomalies, so described","multiple congenital anomalies, so described",0.014548626512391194,HP:0001627,Abnormal heart morphology
C0080274,Urinary Retention,,0.004535063786026762,HP:0000016,Urinary retention
C0032897,Prader-Willi Syndrome,prader-willi syndrome,0.00846943174821428,HP:0001507,Growth abnormality
C0158659,Other combinations of cleft palate with cleft lip, combinations of cleft palate ,0.002050313907415754,HP:0009099,Median cleft palate
C0158656,Unilateral incomplete cleft palate with cleft lip,unilateral incomplete cleft palate ,0.01231006177598455,HP:0100334,Unilateral cleft palate
C0158657,Bilateral complete cleft palate with cleft lip,bilateral complete cleft palate ,0.005825069423899496,HP:0000174,Abnormality of the palate
C0002171,Alopecia Areata,,0.0018160412446908657,HP:0002229,Alopecia areata
C0158655,Unilateral complete cleft palate with cleft lip,unilateral complete cleft palate ,0.028720363205855075,HP:0000174,Abnormality of the palate
C0158652,Unilateral incomplete cleft lip,unilateral incomplete cleft lip,0.007824821684648103,HP:0100333,Unilateral cleft lip
C0158650,Incomplete bilateral cleft palate,incomplete bilateral cleft palate,0.0011669212471468221,HP:0100337,Bilateral cleft palate
C0158651,Unilateral complete cleft lip,unilateral complete cleft lip,0.0028255467035784286,HP:0100333,Unilateral cleft lip
C0009447,Common Variable Immunodeficiency,immunodeficiency,0.02736386093423946,HP:0002721,Immunodeficiency
