cui,cui_name,curated_name,hpo,hpo_name,hpo_prob
C0160432,"Injury to bladder and urethra, without mention of open wound into cavity","injury to bladder and urethra, ",HP:0000795,Abnormality of the urethra,0.5678827166557312
C0342788,Renal carnitine transport defect,renal carnitine transport defect,HP:0004727,Impaired renal concentrating ability,0.7263471484184265
C0153042,Herpetic whitlow,herpetic whitlow,,,1.0
C0029549,Other conditions due to autosomal anomalies, conditions due to autosomal anomalies,,,1.0
C0029548,Other color vision deficiencies, color vision deficiencies,HP:0000551,Abnormality of color vision,0.9932655096054077
C0236826,Developmental expressive language disorder,expressive language delay,HP:0002474,Expressive language delay,0.9939888715744019
C0231835,Tachypnea,,HP:0002789,Tachypnea,1.0
C0029543,Other chronic allergic conjunctivitis, chronic allergic conjunctivitis,HP:0007879,Allergic conjunctivitis,0.9974639415740967
C0029542,Other chorea, chorea,HP:0002072,Chorea,0.9965319633483887
C0029545,Other chronic hepatitis, chronic hepatitis,HP:0200123,Chronic hepatitis,0.9947421550750732
C0029544,Other chronic bronchitis, chronic bronchitis,HP:0004469,Chronic bronchitis,0.9993057250976562
C0029547,Other closed skull fracture without mention of intracranial injury, closed skull fracture ,HP:0000929,Abnormality of the skull,0.5243235230445862
C0029546,Other chronic nonalcoholic liver disease, chronic nonalcoholic liver disease,HP:0001392,Abnormality of the liver,0.8751211762428284
C0158095,"Pathological dislocation of joint, pelvic region and thigh","pathological dislocation of joint, pelvic region and thigh",,,1.0
C0027651,Neoplasms,,HP:0002664,Neoplasm,1.0
C0302431,"Other psychological or physical stress, not elsewhere classified"," psychological or physical stress, not elsewhere classified",,,1.0
C0489954,Unspecified viral hepatitis without hepatic coma, viral hepatitis ,HP:0006562,Viral hepatitis,0.9990053772926331
C0489955,Toxic uninodular goiter without mention of thyrotoxic crisis or storm,toxic uninodular goiter ,,,1.0
C0342565,Other specified diseases of thymus gland, specified diseases of thymus gland,HP:0000818,Abnormality of the endocrine system,0.9469255805015564
C0489951,Other specified bacterial intestinal infections, specified bacterial intestinal infections,HP:0004798,Recurrent infection of the gastrointestinal tract,0.9816552996635437
C0489952,"Intestinal infection due to other organism, NEC in ICD9CM","intestinal infection due to  organism,",HP:0004798,Recurrent infection of the gastrointestinal tract,0.7771296501159668
C0489958,Rheumatic chorea without heart involvement,rheumatic chorea ,,,1.0
C0489959,Rheumatoid myocarditis,rheumatoid myocarditis,,,1.0
C0432378,Congenital malformations of other endocrine glands,congenital malformations of  endocrine glands,HP:0000818,Abnormality of the endocrine system,0.854764461517334
C0029729,"Other retinal changes, congenital"," retinal changes, congenital",HP:0000479,Abnormality of the retina,0.9233772158622742
C0031192,Persistent Ostium Primum,persistent ostium primum,HP:0010445,Primum atrial septal defect,0.7164866328239441
C0031190,Persistent Fetal Circulation Syndrome,,HP:0011726,Persistent fetal circulation,1.0
C0678202,Regional enteritis,regional enteritis,HP:0002242,Abnormality of the intestine,0.9506332278251648
C0375319,Acute bronchiolitis due to other infectious organisms,acute bronchiolitis due to  infectious organisms,,,1.0
C0375311,Phlebitis and thrombophlebitis of superficial veins of upper extremities,phlebitis and thrombophlebitis of superficial veins of upper extremities,,,1.0
C0375314,Iatrogenic hypotension,iatrogenic hypotension,HP:0002615,Hypotension,0.9346568584442139
C0020565,Hypertrophy of Breast,,HP:0010313,Breast hypertrophy,1.0
C0375273,Occlusion and stenosis of basilar artery without mention of cerebral infarction,occlusion and stenosis of basilar artery ,,,1.0
C0375277,Occlusion and stenosis of vertebral artery without mention of cerebral infarction,occlusion and stenosis of vertebral artery ,,,1.0
C0159324,"Fracture of mandible, closed","fracture of mandible, closed",HP:0000277,Abnormality of the mandible,0.7150205373764038
C0375275,Occlusion and stenosis of carotid artery without mention of cerebral infarction,occlusion and stenosis of carotid artery ,HP:0100546,Carotid artery stenosis,0.9297295808792114
C1561612,"Other diseases of larynx, NEC in ICD9CM"," diseases of larynx,",HP:0002087,Abnormality of the upper respiratory tract,0.7187311053276062
C0154544,"Other, mixed, or unspecified drug abuse, unspecified",", mixed, or  drug abuse, ",HP:0000708,Behavioral abnormality,0.8968995213508606
C0154545,"Other, mixed, or unspecified drug abuse, continuous",", mixed, or  drug abuse, continuous",HP:0000708,Behavioral abnormality,0.8150222897529602
C0154549,Musculoskeletal malfunction arising from mental factors,musculoskeletal malfunction ,HP:0011843,Abnormality of skeletal physiology,0.9449757933616638
C0477889,Fetus and newborn affected by other and unspecified conditions of umbilical cord,fetus and newborn affected by  and  conditions of umbilical cord,,,1.0
C0477888,Fetus and newborn affected by other compression of umbilical cord,fetus and newborn affected by  compression of umbilical cord,,,1.0
C0265678,Congenital fusion of spine,congenital fusion of spine,HP:0002948,Vertebral fusion,0.8481894135475159
C0265677,Congenital hemivertebra,,HP:0002937,Hemivertebrae,1.0
C0154326,Drug-induced delirium,drug-induced delirium,,,1.0
C0154325,Other specified drug-induced mental disorders, specified drug-induced mental disorders,,,1.0
C0027868,Neuromuscular Diseases,neuromuscular diseases,HP:0003011,Abnormality of the musculature,0.7243154048919678
C0036416,Scleritis,,HP:0100532,Scleritis,1.0
C0036415,Sclerema Neonatorum,sclerema neonatorum,HP:0011354,Generalized abnormality of skin,0.8881539702415466
C0266094,Congenital macrocheilia,congenital macrocheilia,,,1.0
C0155949,Exfoliation of teeth due to systemic causes,exfoliation of teeth due to systemic causes,,,1.0
C0155948,Other diseases and conditions of the teeth and supporting structures, diseases and conditions of the teeth and supporting structures,HP:0006481,Abnormality of primary teeth,0.7947432994842529
C0155940,Displaced tooth,displaced tooth,,,1.0
C0155943,Arthralgia of temporomandibular joint,arthralgia of temporomandibular joint,HP:0002829,Arthralgia,0.518671989440918
C0155942,"Temporomandibular joint disorders, adhesions and ankylosis (bony or fibrous)","temporomandibular joint disorders, adhesions and ankylosis (bony or fibrous)",HP:0010754,Abnormality of the temporomandibular joint,0.7537328004837036
C0745890,Reflex sympathetic dystrophy of lower extremity,reflex sympathetic dystrophy of lower extremity,,,1.0
C0155947,Dentofacial anomaly,dentofacial anomaly,HP:0000271,Abnormality of the face,0.9148440957069397
C0155946,Other specified dentofacial anomalies, specified dentofacial anomalies,HP:0000271,Abnormality of the face,0.6978397965431213
C0236827,Mixed receptive-expressive language disorder,language delay,HP:0000750,Delayed speech and language development,0.9907931685447693
C0019158,Hepatitis,,HP:0012115,Hepatitis,1.0
C0152436,"Hymen, Imperforate",,HP:0030011,Imperforate hymen,1.0
C0375026,Viral and chlamydial infection in conditions classified elsewhere and of unspecified site,viral and chlamydial infection in conditions classified elsewhere and of  site,,,1.0
C0276148,Non-arthropod-borne viral diseases of the central nervous system,non-arthropod-borne viral diseases of the central nervous system,,,1.0
C0159917,Closed anterior dislocation of humerus,closed anterior dislocation of humerus,,,1.0
C0159915,Traumatic closed dislocation of temporomandibular joint,traumatic closed dislocation of temporomandibular joint,,,1.0
C0159912,"Closed multiple fractures involving both lower limbs, lower with upper limb, and lower limb(s) with rib(s) and sternum","closed multiple fractures involving both lower limbs, lower ",HP:0001376,Limitation of joint mobility,0.6278582811355591
C0159911,"Multiple fractures involving both lwr limbs, lwr with upr limb, and lwr limb with rib and sternum","multiple fractures involving both lwr limbs, lwr ",HP:0001377,Limited elbow extension,0.5174449682235718
C1279412,periodic paralysis (finding),,HP:0003768,Periodic paralysis,1.0
C0156795,"Tuberculosis of mother, complicating pregnancy, childbirth, or the puerperium, delivered, with or without mention of antepartum condition","tuberculosis of m, complicating pregnancy, childbirth, or the puerperium, delivered, ",,,1.0
C0043037,Common wart,common wart,HP:0200043,Verrucae,0.5108704566955566
C0042749,Viremia,viremia,HP:0010978,Abnormality of immune system physiology,0.6786883473396301
C0021831,Intestinal Diseases,,HP:0002242,Abnormality of the intestine,1.0
C0021830,Intestinal disaccharidase deficiencies and disaccharide malabsorption,intestinal disaccharidase deficiencies and disaccharide malabsorption,HP:0002242,Abnormality of the intestine,0.7577099204063416
C2607928,Nonsenile cataract,nonsenile cataract,HP:0000518,Cataract,0.6108700633049011
C2712941,Disorder of stomach function and feeding problems in newborn,disorder of stomach function and feeding problems in newborn,HP:0011968,Feeding difficulties,0.5131308436393738
C0032310,"Pneumonia, Viral","pneumonia, viral",,,1.0
