cui,cui_name,curated_name,hpo,hpo_name
C0302434,"General psychiatric examination, other and unspecified","general psychiatric examination,  and ",,
C0302433,"Follow-up examination, following completed treatment with high-risk medication, not elsewhere classified","follow-up examination, following completed treatment ",,
C0302430,"Other and unspecified complications of medical care, NEC in ICD9CM_2014"," and  complications of medical care,",,
C0160928,"Contusion, genital organs","contusion, genital organs",,
C0160923,Contusion of trunk,contusion of trunk,,
C0160921,Contusion of orbital tissues,contusion of orbital tissues,,
C0160920,Contusion of eyelid and periocular area,contusion of eyelid and periocular area,,
C0160927,Contusion of back,contusion of back,,
C0160926,Contusion of abdominal wall,contusion of abdominal wall,,
C0160925,Contusion of chest,contusion of chest,,
C0159322,Closed fracture of nasal bones,closed fracture of nasal bones,,
C0438989,Encounter due to problems with hearing,encounter due to problems ,,
C0840791,"Burn of unspecified degree of chest wall, excluding breast and nipple","burn of  degree of chest wall, excluding breast and nipple",,
C0273286,Open wound of alveolar process with complication,open wound of alveolar process ,,
C0273282,"Open wound of palate, uncomplicated","open wound of palate, uncomplicated",,
C0273267,"Open wound of cheek, uncomplicated","open wound of cheek, uncomplicated",,
C0391994,Encounter due to arthrodesis status,encounter due to arthrodesis status,,
C0435603,Closed fracture of coronoid process of ulna,closed fracture of coronoid process of ulna,,
C1370867,Toxic effect of carbon monoxide,toxic effect of carbon monoxide,,
C0161640,Poisoning by local anti-infectives and anti-inflammatory drugs,poisoning by local anti-infectives and anti-inflammatory drugs,,
C0161643,"Emollients, demulcents and protectant poisoning","emollients, demulcents and protectant poisoning",,
C1260467,Laparoscopic surgical procedure converted to open procedure,laparoscopic surgical procedure converted to open procedure,,
C1260462,Encounter for lengthening/adjustment of growth rod,encounter for lengthening/adjustment of growth rod,,
C1260463,Other aftercare involving internal fixation device, aftercare involving internal fixation device,,
C1260460,Fitting and adjustment of insulin pump,fitting and adjustment of insulin pump,,
C1260461,Encounter for removal of internal fixation device,encounter for removal of internal fixation device,,
C0261817,Other opiates and related narcotics causing adverse effects in therapeutic use, opiates and related narcotics causing adverse effects in therapeutic use,,
C0261816,Methadone analog adverse reaction,methadone analog adverse reaction,,
C0261811,Adverse effects in the therapeutic use of natural blood and blood products,adverse effects in the therapeutic use of natural blood and blood products,,
C0261810,Gamma globulin causing adverse effects in therapeutic use,gamma globulin causing adverse effects in therapeutic use,,
C0261812,Other agents affecting blood constituents causing adverse effects in therapeutic use, agents affecting blood constituents causing adverse effects in therapeutic use,,
C2911491,Encounter due to other cystostomy status,encounter due to  cystostomy status,,
C2911490,Encounter due to appendico-vesicostomy status,encounter due to appendico-vesicostomy status,,
C0261911,Antiasthmatics causing adverse effects in therapeutic use,antiasthmatics causing adverse effects in therapeutic use,,
C0260496,Personal history of surgery to other organs,personal history of surgery to  organs,,
C0260494,Other personal history presenting hazards to health, personal history presenting hazards to health,,
C0260495,"Personal history of surgery to heart and great vessels, presenting hazards to health","personal history of surgery to heart and great vessels, presenting hazards to health",,
C0260492,Personal history of allergy to other specified medicinal agents,personal history of allergy to  specified medicinal agents,,
C0260493,Personal history of allergy to unspecified medicinal agent,personal history of allergy to  medicinal agent,,
C0260490,Personal history of allergy to analgesic agent,personal history of allergy to analgesic agent,,
C0260491,Personal history of allergy to serum and vaccine,personal history of allergy to serum and vaccine,,
C0260368,Need for prophylactic vaccination and inoculation against pertussis alone,need for prophylactic vaccination and inoculation against pertussis alone,,
C0260499,"Personal history of injury, presenting hazards to health","personal history of injury, presenting hazards to health",,
C0677614,Encounter due to convalescence,encounter due to convalescence,,
C0260967,Screening for chemical poisoning and other contamination,screening for chemical poisoning and  contamination,,
C0260965,Encounter due to screening for congenital dislocation of hip,encounter due to screening for congenital dislocation of hip,,
C0260960,Screening for other and unspecified genitourinary conditions,screening for  and  genitourinary conditions,,
C0302412,"Mechanical complication due to other implant and internal device, not elsewhere classified","mechanical complication due to  implant and internal device, not elsewhere classified",,
C0160903,"Superficial foreign body (splinter) of foot and toe(s), without major open wound, infected","superficial foreign body (splinter) of foot and toe(s), ",,
C0160902,"Superficial foreign body (splinter) of foot and toe(s), without major open wound and without mention of infection","superficial foreign body (splinter) of foot and toe(s), ",,
C0159692,Closed fracture of shaft of humerus,closed fracture of shaft of humerus,,
C0260778,Encounter for radiotherapy,encounter for radiapy,,
C0869286,"Other complications of procedures, NEC in ICD9CM"," complications of procedures,",,
C0260777,Encounter for other and unspecified procedures and aftercare,encounter for  and  procedures and aftercare,,
C1455996,Encounter due to genetic susceptibility to other disease,encounter due to genetic susceptibility to  disease,,
C0159348,Closed fracture of other facial bones,closed fracture of  facial bones,,
C0435623,Closed fracture of upper end of radius AND ulna,closed fracture of upper end of radius and ulna,,
C0273365,Open wound of finger without complication,open wound of finger ,,
C0161333,"Burn [any degree] involving 20-29 percent of body surface with third degree burn, less than 10 percent or unspecified",burn [any degree] involving 20-29 percent of body surface ,,
C0161624,Poisoning by saluretic,poisoning by saluretic,,
C0481197,Adverse effects in the therapeutic use of carbonic-anhydrase inhibitors,adverse effects in the therapeutic use of carbonic-anhydrase inhibitors,,
C1744615,Multiple and unspecified open wound of upper limb,multiple and  open wound of upper limb,,
C1744616,"Open wound of knee, leg (except thigh), and ankle","open wound of knee, leg (except thigh), and ankle",,
C0160579,"Open wound of other and unspecified parts of trunk, without mention of complication","open wound of  and  parts of trunk, ",,
C0160575,"Open wound of abdominal wall, anterior, without mention of complication","open wound of abdominal wall, anterior, ",,
C0023176,Lead Poisoning,lead poisoning,,
C0261696,Striking against or struck accidentally by objects or persons,striking against or struck accidentally by objects or persons,,
C0261695,Accidentally struck by falling object,accidentally struck by falling object,,
C0261694,Foreign body accidentally entering other orifice,foreign body accidentally entering  orifice,,
C0261693,Foreign body accidentally entering eye and adnexa,foreign body accidentally entering eye and adnexa,,
C0261692,Accidental mechanical suffocation by other specified means,accidental mechanical suffocation by  specified means,,
C0260348,Encounter due to contact with or exposure to other communicable diseases,encounter due to contact ,,
C0260341,Encounter due to contact with or exposure to tuberculosis,encounter due to contact ,,
C0260346,Encounter due to contact with or exposure to venereal disease,encounter due to contact ,,
C0260347,Encounter due to contact with or exposure to other viral disease,encounter due to contact ,,
C0260345,Encounter due to contact with or exposure to rabies,encounter due to contact ,,
C0677639,Encounter due to social maladjustment,encounter due to social maladjustment,,
